
 The run is 10000 proton of 69 MeV through 20 m   of Cu63 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	28.4858 cm  +- 28.1737 cm 	massic: 127.389 g/cm2 
 CrossSection:	0.0351052 cm^-1 		massic: 785 um2/mg
 crossSection per atom:	820.302 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 789.496 um2/mg	825 mbarn 
               total= 789.496 um2/mg	825 mbarn 

 List of nuclear reactions: 

         proton + Cu63 --> N gamma or e- + proton + He3 + Co60:       1   Q = -18.8534 MeV
       proton + Cu63 --> N gamma or e- + proton + alpha + Co59:      63   Q = -5.76794 MeV
  proton + Cu63 --> N gamma or e- + proton + alpha + Cr53 + Li6:       1   Q = -26.7889 MeV
  proton + Cu63 --> N gamma or e- + proton + alpha + He3 + Mn56:       2   Q = -26.0107 MeV
  proton + Cu63 --> N gamma or e- + proton + alpha + Li7 + Cr52:       1   Q = -27.4769 MeV
  proton + Cu63 --> N gamma or e- + proton + alpha + deuteron + Fe57:       9   Q = -20.9485 MeV
  proton + Cu63 --> N gamma or e- + proton + alpha + triton + Fe56:       4   Q = -22.3373 MeV
    proton + Cu63 --> N gamma or e- + proton + deuteron + Ni61:      24   Q = -14.4903 MeV
  proton + Cu63 --> N gamma or e- + proton + deuteron + triton + Co58:       1   Q = -33.8115 MeV
  proton + Cu63 --> N gamma or e- + proton + deuteron + triton + Co58[24.950]:       1   Q = -33.8364 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + 2 alpha + Mn54:     109   Q = -22.9303 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + 2 alpha + deuteron + Cr52:       3   Q = -36.2018 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + 2 deuteron + Co58:       5   Q = -40.0688 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + 2 deuteron + Co58[24.950]:       5   Q = -40.0938 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + 3 alpha + V50:       1   Q = -31.6821 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + B10 + Cr52:       1   Q = -30.2674 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + B11 + Cr51:       1   Q = -30.8516 MeV
     proton + Cu63 --> N gamma or e- + proton + neutron + Cu62:    1392   Q = -10.8637 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + Fe54 + Li8:       1   Q = -38.3323 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + He3 + Co59:      14   Q = -26.3453 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + Mn55 + Be7:       1   Q = -31.6948 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + alpha + Co58:     168   Q = -16.2218 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + alpha + Co58[24.950]:     175   Q = -16.2468 MeV
  proton + Cu63 --> N gamma or e- + proton + neutron + alpha + He3 + Mn55:       2   Q = -33.2812 MeV
