
 The run is 10000 proton of 69 MeV through 20 m   of C12 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	16.8789 cm  +- 16.694 cm 	massic: 75.4825 g/cm2 
 CrossSection:	0.0592455 cm^-1 		massic: 1.32481 mm2/g 
 crossSection per atom:	263.988 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 1.3324 mm2/g 	265.5 mbarn 
               total= 1.3324 mm2/g 	265.5 mbarn 

 List of nuclear reactions: 

                      proton + C12 --> 2 proton + B11[601.954]:       1   Q = -16.5585 MeV
                       proton + C12 --> 2 proton + B11[62.107]:       1   Q = -16.0186 MeV
                      proton + C12 --> 2 proton + B11[628.891]:       1   Q = -16.5854 MeV
                      proton + C12 --> 2 proton + B11[640.876]:       1   Q = -16.5974 MeV
                      proton + C12 --> 2 proton + B11[643.365]:       1   Q = -16.5999 MeV
                       proton + C12 --> 2 proton + B11[65.054]:       1   Q = -16.0216 MeV
                       proton + C12 --> 2 proton + B11[65.984]:       1   Q = -16.0225 MeV
                      proton + C12 --> 2 proton + B11[659.932]:       1   Q = -16.6164 MeV
                       proton + C12 --> 2 proton + B11[66.215]:       1   Q = -16.0227 MeV
                       proton + C12 --> 2 proton + B11[66.225]:       1   Q = -16.0227 MeV
                      proton + C12 --> 2 proton + B11[662.816]:       1   Q = -16.6193 MeV
                      proton + C12 --> 2 proton + B11[674.271]:       1   Q = -16.6308 MeV
                        proton + C12 --> 2 proton + B11[7.303]:       1   Q = -15.9638 MeV
                      proton + C12 --> 2 proton + B11[718.384]:       1   Q = -16.6749 MeV
                      proton + C12 --> 2 proton + B11[729.359]:       1   Q = -16.6859 MeV
                       proton + C12 --> 2 proton + B11[73.867]:       1   Q = -16.0304 MeV
                      proton + C12 --> 2 proton + B11[748.972]:       1   Q = -16.7055 MeV
                      proton + C12 --> 2 proton + B11[759.457]:       1   Q = -16.716 MeV
                       proton + C12 --> 2 proton + B11[76.591]:       1   Q = -16.0331 MeV
                       proton + C12 --> 2 proton + B11[76.997]:       1   Q = -16.0335 MeV
                      proton + C12 --> 2 proton + B11[761.544]:       1   Q = -16.718 MeV
                      proton + C12 --> 2 proton + B11[767.336]:       1   Q = -16.7238 MeV
                       proton + C12 --> 2 proton + B11[77.472]:       1   Q = -16.034 MeV
                      proton + C12 --> 2 proton + B11[774.160]:       1   Q = -16.7307 MeV
                      proton + C12 --> 2 proton + B11[787.235]:       1   Q = -16.7437 MeV
                      proton + C12 --> 2 proton + B11[788.715]:       1   Q = -16.7452 MeV
                      proton + C12 --> 2 proton + B11[788.779]:       1   Q = -16.7453 MeV
                      proton + C12 --> 2 proton + B11[795.024]:       1   Q = -16.7515 MeV
                      proton + C12 --> 2 proton + B11[804.818]:       1   Q = -16.7613 MeV
                      proton + C12 --> 2 proton + B11[809.175]:       1   Q = -16.7657 MeV
                       proton + C12 --> 2 proton + B11[81.704]:       1   Q = -16.0382 MeV
                       proton + C12 --> 2 proton + B11[82.450]:       1   Q = -16.0389 MeV
                      proton + C12 --> 2 proton + B11[822.043]:       1   Q = -16.7785 MeV
                      proton + C12 --> 2 proton + B11[826.265]:       1   Q = -16.7828 MeV
                      proton + C12 --> 2 proton + B11[840.636]:       1   Q = -16.7971 MeV
                      proton + C12 --> 2 proton + B11[841.931]:       1   Q = -16.7984 MeV
                      proton + C12 --> 2 proton + B11[853.597]:       1   Q = -16.8101 MeV
                       proton + C12 --> 2 proton + B11[91.627]:       1   Q = -16.0481 MeV
                      proton + C12 --> 2 proton + B11[952.843]:       1   Q = -16.9093 MeV
                      proton + C12 --> 2 proton + B11[958.226]:       1   Q = -16.9147 MeV
                      proton + C12 --> 2 proton + B11[964.975]:       1   Q = -16.9215 MeV
                      proton + C12 --> 2 proton + B11[978.354]:       1   Q = -16.9349 MeV
                      proton + C12 --> 2 proton + B11[978.830]:       1   Q = -16.9353 MeV
                       proton + C12 --> 2 proton + B11[99.983]:       1   Q = -16.0565 MeV
                         proton + C12 --> 2 proton + He3 + Li8:       1   Q = -43.1649 MeV
                       proton + C12 --> 2 proton + alpha + Li7:     281   Q = -24.6201 MeV
                    proton + C12 --> 2 proton + deuteron + Be9:      14   Q = -31.7727 MeV
      proton + C12 --> 2 proton + neutron + 2 alpha + deuteron:     896   Q = -33.345 MeV
                     proton + C12 --> 2 proton + neutron + B10:     223   Q = -27.4106 MeV
            proton + C12 --> 2 proton + neutron + B10[105.120]:       1   Q = -27.5158 MeV
            proton + C12 --> 2 proton + neutron + B10[112.585]:       1   Q = -27.5232 MeV
            proton + C12 --> 2 proton + neutron + B10[146.594]:       1   Q = -27.5572 MeV
            proton + C12 --> 2 proton + neutron + B10[169.261]:       1   Q = -27.5799 MeV
            proton + C12 --> 2 proton + neutron + B10[174.423]:       1   Q = -27.5851 MeV
            proton + C12 --> 2 proton + neutron + B10[219.021]:       1   Q = -27.6297 MeV
            proton + C12 --> 2 proton + neutron + B10[226.412]:       1   Q = -27.637 MeV
            proton + C12 --> 2 proton + neutron + B10[233.005]:       1   Q = -27.6436 MeV
            proton + C12 --> 2 proton + neutron + B10[266.075]:       1   Q = -27.6767 MeV
            proton + C12 --> 2 proton + neutron + B10[309.375]:       1   Q =  -27.72 MeV
             proton + C12 --> 2 proton + neutron + B10[48.916]:       1   Q = -27.4596 MeV
             proton + C12 --> 2 proton + neutron + B10[65.500]:       1   Q = -27.4761 MeV
             proton + C12 --> 2 proton + neutron + B10[66.869]:       1   Q = -27.4775 MeV
             proton + C12 --> 2 proton + neutron + B10[68.423]:       1   Q = -27.4791 MeV
             proton + C12 --> 2 proton + neutron + B10[82.983]:       1   Q = -27.4936 MeV
             proton + C12 --> 2 proton + neutron + B10[85.303]:       1   Q = -27.4959 MeV
               proton + C12 --> 2 proton + neutron + He3 + Li7:       3   Q = -45.1975 MeV
             proton + C12 --> 2 proton + neutron + alpha + Li6:     516   Q = -31.8712 MeV
    proton + C12 --> 2 proton + neutron + alpha + Li6[847.470]:       1   Q = -32.7187 MeV
    proton + C12 --> 2 proton + neutron + alpha + triton + He3:       1   Q = -47.665 MeV
            proton + C12 --> 2 proton + neutron + triton + Be7:       2   Q = -46.0786 MeV
                             proton + C12 --> 3 deuteron + Be7:       1   Q = -47.8872 MeV
               proton + C12 --> 3 proton + 2 neutron + 2 alpha:     309   Q = -35.5694 MeV
                              proton + C12 --> 3 proton + Be10:       7   Q = -27.1848 MeV
                    proton + C12 --> 3 proton + Be10[1469.764]:       1   Q = -28.6546 MeV
                     proton + C12 --> 3 proton + neutron + Be9:      61   Q = -33.9971 MeV
                      proton + C12 --> 3 proton + triton + Li7:       2   Q = -44.4341 MeV
              proton + C12 --> N gamma or e- + 2 neutron + N11:      54   Q = -33.1578 MeV
       proton + C12 --> N gamma or e- + 2 neutron + alpha + B7:       1   Q = -38.9547 MeV
  proton + C12 --> N gamma or e- + 2 proton + 2 deuteron + Li7:       1   Q = -48.4671 MeV
               proton + C12 --> N gamma or e- + 2 proton + B11:     457   Q = -15.9565 MeV
       proton + C12 --> N gamma or e- + 2 proton + alpha + Li7:      95   Q = -24.6201 MeV
     proton + C12 --> N gamma or e- + 2 proton + neutron + B10:     261   Q = -27.4106 MeV
  proton + C12 --> N gamma or e- + 2 proton + neutron + He3 + Li7:       1   Q = -45.1975 MeV
  proton + C12 --> N gamma or e- + 2 proton + neutron + triton + Be7:       1   Q = -46.0786 MeV
             proton + C12 --> N gamma or e- + 3 deuteron + Be7:       1   Q = -47.8872 MeV
              proton + C12 --> N gamma or e- + 3 proton + Be10:      14   Q = -27.1848 MeV
      proton + C12 --> N gamma or e- + 3 proton + triton + Li7:       1   Q = -44.4341 MeV
                    proton + C12 --> N gamma or e- + Be7 + Li6:       2   Q = -22.5664 MeV
                     proton + C12 --> N gamma or e- + He6 + B7:       2   Q = -37.9794 MeV
       proton + C12 --> N gamma or e- + alpha + deuteron + Be7:       1   Q = -24.0402 MeV
